	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
515	KT368882	KT368882.1	camel/Taif/T16/2015	2015-04-XX	Asia	Saudi Arabia			30120	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
516	KT368883	KT368883.1	camel/Taif/T22/2015	2015-04-XX	Asia	Saudi Arabia			30122	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
517	KT368884	KT368884.1	camel/Taif/T68/2015	2015-04-XX	Asia	Saudi Arabia			30114	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
518	KT368885	KT368885.1	camel/Taif/T89/2015	2015-04-XX	Asia	Saudi Arabia			30118	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
519	KT368886	KT368886.1	camel/Taif/T91(b)/2015	2015-04-XX	Asia	Saudi Arabia			30118	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
520	KT368887	KT368887.1	camel/Taif/T92/2015	2015-04-XX	Asia	Saudi Arabia			30116	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
521	KT368888	KT368888.1	camel/Taif/T98/2015	2015-04-XX	Asia	Saudi Arabia			30116	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
522	KT368889	KT368889.1	camel/Taif/T150/2015	2015-03-XX	Asia	Saudi Arabia			30110	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
523	KT368890	KT368890.1	camel/Taif/T157(b)/2015	2015-03-XX	Asia	Saudi Arabia			30120	Camelus	2015-12-17	2015-12-17		Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	Sabir et al	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases	Camel
530	KT374056	KT374056.1	KOREA/Seoul/168-1-2015	2015-06-21	Asia	South Korea			29831	Homo sapiens	2015-11-24	2016-03-09		Seong,M.W.,Kim,S.Y.,Corman,V.M.,Kim,T.S.,Cho,S.I.,Kim,M.J.,Lee,S.J.,Lee,J.S.,Seo,S.H.,Ahn,J.S.,Yu,B.S.,Park,N.,Oh,M.D.,Park,W.B.,Lee,J.Y.,Kim,G.,Joh,J.S.,Jeong,I.,Kim,E.C.,Drosten,C.,Park,S.S.,Seong,M.-W.,Lee,J.-S.,Oh,M.-D.	Seong et al	Seoul National University Hospital, Laboratory Medicine	Human
532	KT624236	KT624236.1	KT624236	2008-12-15	Asia	Saudi Arabia			3460	Homo sapiens	2016-02-07	2016-02-07		Amer,H.M.,Almajhdi,F.N.,Hajomar,W.,Farrag,M.A.,Assiri,A.,BinSaeed,A.	Amer et al	College of Science, King Saud University, Botany and Microbiology	Human
533	KT624237	KT624237.1	KT624237	2008-12-15	Asia	Saudi Arabia			3460	Homo sapiens	2016-02-07	2016-02-07		Amer,H.M.,Almajhdi,F.N.,Hajomar,W.,Farrag,M.A.,Assiri,A.,BinSaeed,A.	Amer et al	College of Science, King Saud University, Botany and Microbiology	Human
534	KT624238	KT624238.1	KT624238	2008-12-15	Asia	Saudi Arabia			3460	Homo sapiens	2016-02-07	2016-02-07		Amer,H.M.,Almajhdi,F.N.,Hajomar,W.,Farrag,M.A.,Assiri,A.,BinSaeed,A.	Amer et al	College of Science, King Saud University, Botany and Microbiology	Human
535	KT624239	KT624239.1	KT624239	2008-12-15	Asia	Saudi Arabia			3460	Homo sapiens	2016-02-07	2016-02-07		Amer,H.M.,Almajhdi,F.N.,Hajomar,W.,Farrag,M.A.,Assiri,A.,BinSaeed,A.	Amer et al	College of Science, King Saud University, Botany and Microbiology	Human
561	KT751244	KT751244.1	KT751244		Asia	United Arab Emirates	Dubai		30107	Camelus bactrianus	2015-12-09	2015-12-09		Wernery,U.,Rasoul,I.E.,Wong,E.Y.,Joseph,M.,Chen,Y.,Jose,S.,Tsang,A.K.,Patteril,N.A.,Chen,H.,Elizabeth,S.K.,Yuen,K.Y.,Joseph,S.,Xia,N.,Wernery,R.,Lau,S.K.,Woo,P.C.,El Rasoul,H.,Wong,E.Y.M.,Tsang,A.K.L.,Patteril,N.A.G.,Yuen,K.-Y.,Lau,S.K.P.,Woo,P.C.Y.	Wernery et al	The University of Hong Kong, Microbiology	Camel
571	KT805970	KT805970.1	Hu/Buraydah-KSA-3049/2015	2015-02-12	Asia	Saudi Arabia			4062	Homo sapiens	2016-01-07	2016-01-07		Lu,X.,Assiri,A.M.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
575	KT805974	KT805974.1	Hu/Riyadh-KSA-4071/2015	2015-02-28	Asia	Saudi Arabia			4062	Homo sapiens	2016-01-07	2016-01-07		Lu,X.,Assiri,A.M.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
593	KT805992	KT805992.1	Hu/Aseer-KSA-Rs924/2015	2015-05-01	Asia	Saudi Arabia			4062	Homo sapiens	2016-01-07	2016-01-07		Lu,X.,Assiri,A.M.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
615	KT806014	KT806014.1	Hu/Riyadh-KSA-7867/2015	2015-04-04	Asia	Saudi Arabia			4062	Homo sapiens	2016-01-07	2016-01-07		Lu,X.,Assiri,A.M.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
617	KT806016	KT806016.1	Hu/Duba-KSA-313/2015	2015-04-16	Asia	Saudi Arabia			4062	Homo sapiens	2016-01-07	2016-01-07		Lu,X.,Assiri,A.M.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
652	KT806053	KT806053.1	Hu/Kharj-KSA-2598/2015	2015-02-02	Asia	Saudi Arabia			30096	Homo sapiens	2016-01-13	2016-01-13		Lu,X.,Assiri,A.M.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
659	KT861627	KT861627.1	Hu/Jordan-20140010168/2014	2014-01-22	Asia	Jordan			30089	Homo sapiens	2016-10-02	2016-10-02		Lu,X.,Al-Abdallat,M.M.,Haddadin,A.,Al-Sanouri,T.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
661	KT861629	KT861629.1	Hu/Jordan-201440010988/2014	2014-04-07	Asia	Jordan			4062	Homo sapiens	2016-09-30	2016-09-30		Lu,X.,Al-Abdallat,M.M.,Haddadin,A.,Al-Sanouri,T.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
662	KT861630	KT861630.1	Hu/Jordan-201440011200/2014	2014-04-30	Asia	Jordan			4062	Homo sapiens	2016-09-30	2016-09-30		Lu,X.,Al-Abdallat,M.M.,Haddadin,A.,Al-Sanouri,T.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
663	KT861631	KT861631.1	Hu/Jordan-201440011365/2014	2014-05-10	Asia	Jordan			4062	Homo sapiens	2016-09-30	2016-09-30		Lu,X.,Al-Abdallat,M.M.,Haddadin,A.,Al-Sanouri,T.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
664	KT861632	KT861632.1	Hu/Jordan-20140013526/2014	2014-12-24	Asia	Jordan			4062	Homo sapiens	2016-09-30	2016-09-30		Lu,X.,Al-Abdallat,M.M.,Haddadin,A.,Al-Sanouri,T.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
665	KT861633	KT861633.1	Hu/Jordan-201440011246/2014	2014-05-04	Asia	Jordan			4062	Homo sapiens	2016-09-30	2016-09-30		Lu,X.,Al-Abdallat,M.M.,Haddadin,A.,Al-Sanouri,T.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
669	KT868868	KT868868.1	MERS-CoV/KOR/CNUH_SNU/030_06_2015	2015-06-08	Asia	South Korea			30068	Homo sapiens	2016-03-09	2016-03-09		Kim,Y.,Cheon,S.,Min,C.K.,Sohn,K.M.,Kang,Y.J.,Cha,Y.J.,Kang,J.I.,Han,S.K.,Ha,N.Y.,Kim,G.,Aigerim,A.,Shin,H.M.,Choi,M.S.,Kim,S.,Cho,H.S.,Kim,Y.S.,Cho,N.H.,Kim,Y.-S.,Cho,N.-H.	Kim et al	Seoul Naitonal University College of Medicine, Department of Microbiology and Immunology	Human
674	KT868873	KT868873.1	MERS-CoV/KOR/CNUH_SNU/085_06_2015	2015-06-10	Asia	South Korea			30068	Homo sapiens	2016-03-09	2016-03-09		Kim,Y.,Cheon,S.,Min,C.K.,Sohn,K.M.,Kang,Y.J.,Cha,Y.J.,Kang,J.I.,Han,S.K.,Ha,N.Y.,Kim,G.,Aigerim,A.,Shin,H.M.,Choi,M.S.,Kim,S.,Cho,H.S.,Kim,Y.S.,Cho,N.H.,Kim,Y.-S.,Cho,N.-H.	Kim et al	Seoul Naitonal University College of Medicine, Department of Microbiology and Immunology	Human
677	KT868876	KT868876.1	MERS-CoV/KOR/CNUH_SNU/148_06_2015	2015-06-10	Asia	South Korea			30068	Homo sapiens	2016-03-09	2016-03-09		Kim,Y.,Cheon,S.,Min,C.K.,Sohn,K.M.,Kang,Y.J.,Cha,Y.J.,Kang,J.I.,Han,S.K.,Ha,N.Y.,Kim,G.,Aigerim,A.,Shin,H.M.,Choi,M.S.,Kim,S.,Cho,H.S.,Kim,Y.S.,Cho,N.H.,Kim,Y.-S.,Cho,N.-H.	Kim et al	Seoul Naitonal University College of Medicine, Department of Microbiology and Immunology	Human
679	KT877350	KT877350.1	KSA_1725	2014-09-XX	Asia	Saudi Arabia			30121	Camelus dromedarius	2016-09-30	2016-09-30		Alagaili,A.N.,Mohammed,O.B.,Mishra,N.,Briese,T.,Lipkin,W.I.	Alagaili et al	The Center for Infection and Immunity, Columbia University	Camel
680	KT877351	KT877351.1	KSA_1724	2014-09-XX	Asia	Saudi Arabia			30010	Camelus dromedarius	2016-09-30	2016-09-30		Alagaili,A.N.,Mohammed,O.B.,Mishra,N.,Briese,T.,Lipkin,W.I.	Alagaili et al	The Center for Infection and Immunity, Columbia University	Camel
683	KU201953	KU201953.1	Nigeria-HKU004	2015-01-13	Africa	Nigeria			4062	Camelus dromedarius	2015-12-16	2015-12-16		Chu,D.K.,Oladipo,J.O.,Perera,R.A.,Kuranga,S.A.,Chan,S.M.,Poon,L.L.,Peiris,M.,Chu,D.K.W.,Perera,R.A.P.M.,Chan,S.M.S.,Poon,L.L.M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
689	KU201959	KU201959.1	Nigeria-HKU004	2015-01-13	Africa	Nigeria			5347	Camelus dromedarius	2015-12-16	2015-12-16		Chu,D.K.,Oladipo,J.O.,Perera,R.A.,Kuranga,S.A.,Chan,S.M.,Poon,L.L.,Peiris,M.,Chu,D.K.W.,Perera,R.A.P.M.,Chan,S.M.S.,Poon,L.L.M.	Chu et al	The University of Hong Kong, School of Public Health	Camel
691	KU233363	KU233363.1	Jordan_1_2015	2015-XX-XX	Asia	Jordan			30064	Homo sapiens	2016-04-07	2016-04-07		Lamers,M.M.,Raj,V.S.,Shafei,M.,Ali,S.S.,Abdallh,S.M.,Gazo,M.,Nofal,S.,Lu,X.,Erdman,D.D.,Koopmans,M.P.,Abdallat,M.,Haddadin,A.,Haagmans,B.L.,Stalin Raj,V.,Koopmans,M.P.G.	Lamers et al	Erasmus Medical Center, Department of Viroscience	Human
706	KU242423	KU242423.1	Camel/UAE/D511-14	2014-03-12	Asia	United Arab Emirates			30112	Camelus dromedarius	2015-12-27	2015-12-27		Wernery,U.,Corman,V.M.,Wong,E.Y.,Tsang,A.K.,Muth,D.,Lau,S.K.,Khazanehdari,K.,Zirkel,F.,Ali,M.,Nagy,P.,Juhasz,J.,Wernery,R.,Joseph,S.,Syriac,G.,Elizabeth,S.K.,Patteril,N.A.,Woo,P.C.,Drosten,C.,Wong,E.Y.M.,Tsang,A.K.L.,Lau,S.K.P.,Patteril,N.A.G.,Woo,P.C.Y.	Wernery et al	The University of Hong Kong, Department of Microbiology	Camel
707	KU242424	KU242424.1	Camel/UAE/D469-14	2014-03-04	Asia	United Arab Emirates			30112	Camelus dromedarius	2015-12-27	2015-12-27		Wernery,U.,Corman,V.M.,Wong,E.Y.,Tsang,A.K.,Muth,D.,Lau,S.K.,Khazanehdari,K.,Zirkel,F.,Ali,M.,Nagy,P.,Juhasz,J.,Wernery,R.,Joseph,S.,Syriac,G.,Elizabeth,S.K.,Patteril,N.A.,Woo,P.C.,Drosten,C.,Wong,E.Y.M.,Tsang,A.K.L.,Lau,S.K.P.,Patteril,N.A.G.,Woo,P.C.Y.	Wernery et al	The University of Hong Kong, Department of Microbiology	Camel
708	KU308549	KU308549.1	Korea/Seoul/SNU1-035/2015	2015-06-08	Asia	South Korea			30119	Homo sapiens	2016-03-01	2016-03-15		Park,W.B.,Kwon,N.J.,Choe,P.G.,Choi,S.J.,Oh,H.S.,Lee,S.M.,Chong,H.,Kim,J.I.,Song,K.H.,Bang,J.H.,Kim,E.S.,Kim,H.B.,Park,S.W.,Kim,N.J.,Oh,M.D.,Chong,H.Y.,Kwon,N.-J.,Song,K.-H.,Kim,H.-B.,Oh,M.-D.,Seo,J.-S.	Park et al	Macrogen, PMC	Human
710	KU710265	KU710265.1	Hu/Taif/KSA-7032/2014/S530del	2014-11-04	Asia	Saudi Arabia			29566	Homo sapiens	2016-08-12	2016-08-12		Lu,X.,Rowe,L.A.,Frace,M.,Stevens,J.,Abedi,G.R.,El Nile,O.,Banassir,T.,Al-Masri,M.,Watson,J.T.,Assiri,A.,Erdman,D.D.	Lu et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
711	KU740200	KU740200.1	MERS CoV/camel/Egypt/NRCE-NC163/2014	2014-12-17	Africa	Egypt			29949	Camelus dromedarius	2016-03-07	2020-08-21		Shehata,M.M.,Kandeil,A.,Ali,M.A.,Kayali,G.	Shehata et al	St. Jude Center of Excellence for Influenza Research and Surveillance (CEIRS)	Camel
739	KX034093	KX034093.1	MERS-CoV/KOR/Seoul/014-2015	2015-05-30	Asia	South Korea			30118	Homo sapiens	2016-05-08	2016-05-08		Park,D.,Huh,H.J.,Kim,Y.J.,Son,D.-S.,Jeon,H.-J.,Im,E.-H.,Kim,J.-W.,Lee,N.Y.,Kang,E.-S.,Chung,D.R.,Choi,S.S.,Ahn,J.-H.,Peck,K.R.,Ki,C.-S.,Park,W.-Y.	Park et al	Samsung Medical Center, Samsung Genome Institute	Human
742	KX034096	KX034096.1	MERS-CoV/KOR/Seoul/077-2-2015	2015-06-17	Asia	South Korea			30082	Homo sapiens	2016-05-08	2016-05-08		Park,D.,Huh,H.J.,Kim,Y.J.,Son,D.-S.,Jeon,H.-J.,Im,E.-H.,Kim,J.-W.,Lee,N.Y.,Kang,E.-S.,Chung,D.R.,Choi,S.S.,Ahn,J.-H.,Peck,K.R.,Ki,C.-S.,Park,W.-Y.	Park et al	Samsung Medical Center, Samsung Genome Institute	Human
743	KX034097	KX034097.1	MERS-CoV/KOR/Seoul/080-3-2015	2015-06-17	Asia	South Korea			30118	Homo sapiens	2016-05-08	2016-05-08		Park,D.,Huh,H.J.,Kim,Y.J.,Son,D.-S.,Jeon,H.-J.,Im,E.-H.,Kim,J.-W.,Lee,N.Y.,Kang,E.-S.,Chung,D.R.,Choi,S.S.,Ahn,J.-H.,Peck,K.R.,Ki,C.-S.,Park,W.-Y.	Park et al	Samsung Medical Center, Samsung Genome Institute	Human
744	KX034098	KX034098.1	MERS-CoV/KOR/Seoul/162-1-2015	2015-06-22	Asia	South Korea			30106	Homo sapiens	2016-05-08	2016-05-08		Park,D.,Huh,H.J.,Kim,Y.J.,Son,D.-S.,Jeon,H.-J.,Im,E.-H.,Kim,J.-W.,Lee,N.Y.,Kang,E.-S.,Chung,D.R.,Choi,S.S.,Ahn,J.-H.,Peck,K.R.,Ki,C.-S.,Park,W.-Y.	Park et al	Samsung Medical Center, Samsung Genome Institute	Human
747	KX108937	KX108937.1	D1164.1/14	2014-06-02	Asia	United Arab Emirates			30097	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
748	KX108938	KX108938.1	D2597.2/14	2014-12-13	Asia	United Arab Emirates			30101	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
749	KX108939	KX108939.1	D252/15	2015-01-30	Asia	United Arab Emirates			30099	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
750	KX108940	KX108940.1	D374/15	2015-02-12	Asia	United Arab Emirates			30099	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
751	KX108941	KX108941.1	D383/15	2015-02-14	Asia	United Arab Emirates			30099	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
752	KX108942	KX108942.1	D389/15	2015-02-15	Asia	United Arab Emirates			30099	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
753	KX108943	KX108943.1	D998/15	2015-04-23	Asia	United Arab Emirates			30088	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
754	KX108944	KX108944.1	D1157/15	2015-05-12	Asia	United Arab Emirates			30099	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
755	KX108945	KX108945.1	D1271/15	2015-05-29	Asia	United Arab Emirates			30101	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
756	KX108946	KX108946.1	D1189.1/15	2015-05-18	Asia	United Arab Emirates			30099	Camelus dromedarius	2016-12-29	2016-12-29		Lau,S.K.,Wernery,R.,Wong,E.Y.,Joseph,S.,Tsang,A.K.,Patteril,N.A.,Elizabeth,S.K.,Chan,K.H.,Muhammed,R.,Kinne,J.,Yuen,K.Y.,Wernery,U.,Woo,P.C.,Lau,S.K.P.,Wong,E.Y.M.,Tsang,A.K.L.,Woo,P.C.Y.	Lau et al	The University of Hong Kong, Microbiology	Camel
774	KX154687	KX154687.1	Hu/Riyadh-KSA-11958/2016	2016-02-XX	Asia	Saudi Arabia			30096	Homo sapiens	2017-04-30	2017-04-30		Assiri,A.M.,Midgley,C.M.,Alessa,M.,Hawaj,H.A.L.,Saeed,A.B.,Almasri,M.M.,Lu,X.,Abedi,G.R.,Abdalla,O.,Mohammed,M.,Algarni,H.S.,Alhakeem,R.F.,Al-Abdely,H.M.,Alomar,I.A.,Alsharef,A.A.,Nooh,R.,Erdman,D.D.,Watson,J.T.,Gerber,S.I.	Assiri et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
775	KX154688	KX154688.1	Hu/Riyadh-KSA-12160/2016	2016-02-XX	Asia	Saudi Arabia			30096	Homo sapiens	2017-04-30	2017-04-30		Assiri,A.M.,Midgley,C.M.,Alessa,M.,Hawaj,H.A.L.,Saeed,A.B.,Almasri,M.M.,Lu,X.,Abedi,G.R.,Abdalla,O.,Mohammed,M.,Algarni,H.S.,Alhakeem,R.F.,Al-Abdely,H.M.,Alomar,I.A.,Alsharef,A.A.,Nooh,R.,Erdman,D.D.,Watson,J.T.,Gerber,S.I.	Assiri et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
