accession	accession_version	length	database	sra_accessions	strain	region	location	date	date_released	date_updated	host	sample_type	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors
KP202242	KP202242.1	720	GenBank		UAE-8-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP202243	KP202243.1	720	GenBank		UAE-9-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP202244	KP202244.1	720	GenBank		UAE-10-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP202245	KP202245.1	720	GenBank		UAE-11-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP202246	KP202246.1	720	GenBank		UAE-12-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP202247	KP202247.1	720	GenBank		UAE-14-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP202248	KP202248.1	720	GenBank		UAE-17-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP202249	KP202249.1	720	GenBank		UAE-18-2014	Asia		2014-XX-XX	2015-02-24	2015-02-24	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Eltahir,Y.M.,Serhan,W.S.,Hashem,F.M.,Elsayed,E.A.,Marzoug,B.A.,Abdelazim,A.S.,Bensalah,O.K.,Al Muhairi,S.S.,Yusof,M.M.,Alsayed,E.A.,Marzouq,B.A.,Abelazim,A.S.	AbuDhabi Food Control Authority, Animal Wealth	United Arab Emirates	United Arab Emirates		Yusof et al
KP209306	KP209306.1	30123	GenBank		KP209306	Asia		2014-04-07	2014-12-06	2016-04-06	Homo sapiens	lung		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP209307	KP209307.1	30123	GenBank		KP209307	Asia		2014-04-10	2014-12-06	2016-04-06	Homo sapiens	lung, oronasopharynx		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP209308	KP209308.1	30123	GenBank		KP209308	Asia		2014-04-10	2014-12-06	2016-04-06	Homo sapiens	lung, oronasopharynx		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP209309	KP209309.1	30123	GenBank		KP209309	Asia		2014-04-19	2014-12-06	2016-04-06	Homo sapiens	lung, oronasopharynx		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP209310	KP209310.1	30123	GenBank		KP209310	Asia		2014-03-07	2014-12-06	2016-04-06	Homo sapiens	lung, oronasopharynx		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP209311	KP209311.1	30123	GenBank		KP209311	Asia		2014-04-17	2014-12-06	2016-04-06	Homo sapiens	lung, oronasopharynx		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP209312	KP209312.1	30123	GenBank		KP209312	Asia		2013-11-15	2014-12-06	2016-04-06	Homo sapiens	lung		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP209313	KP209313.1	30123	GenBank		KP209313	Asia		2014-04-13	2014-12-06	2016-04-06	Homo sapiens	lung, oronasopharynx		Hunter,J.C.,Nguyen,D.,Aden,B.,Al Bandar,Z.,Al Dhaheri,W.,Abu Elkheir,K.,Khudair,A.,Al Mulla,M.,El Saleh,F.,Imambaccus,H.,Al Kaabi,N.,Sheikh,F.A.,Sasse,J.,Turner,A.,Abdel Wareth,L.,Weber,S.,Al Ameri,A.,Abu Amer,W.,Alami,N.N.,Bunga,S.,Haynes,L.M.,Hall,A.J.,Kallen,A.J.,Kuhar,D.,Pham,H.,Pringle,K.,Tong,S.,Whitaker,B.L.,Gerber,S.I.,Al Hosani,F.I.,Tao,Y.,Queen,K.,Li,Y.,Paden,C.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Gerber,S.,Al Hosany,F.I.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Hunter et al
KP223131	KP223131.1	30123	GenBank		Florida/USA-2_Saudi Arabia_2014	North America		2014-06-XX	2014-12-14	2014-12-14	Homo sapiens	lung, oronasopharynx		Tao,Y.,Tamin,A.,Paden,C.,Queen,K.,Li,Y.,Tong,S.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	USA		Tao et al
KP236092	KP236092.1	4062	GenBank		KP236092	Asia		2013-10-29	2014-12-14	2014-12-14	Homo sapiens	oronasopharynx		Tao,Y.,Queen,K.,Li,Y.,Paden,C.R.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Weber,S.,Imambaccus,H.,Sasse,J.,Gerber,S.,Al Hosany,F.I.,Tong,S.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Tao et al
KP236093	KP236093.1	1242	GenBank		KP236093	Asia		2013-10-29	2014-12-14	2014-12-14	Homo sapiens	oronasopharynx		Tao,Y.,Queen,K.,Li,Y.,Paden,C.R.,Zhang,J.,Al-Ameri,A.,Amer,W.A.,AlHamly,N.,Weber,S.,Imambaccus,H.,Sasse,J.,Gerber,S.,Al Hosany,F.I.,Tong,S.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Tao et al
KP405225	KP405225.1	4062	GenBank		Al-Ahsa KSA_Camel_C8	Asia		2013-12-XX	2015-07-06	2015-07-06	Camelus bactrianus	oronasopharynx		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Khalafalla et al
KP405226	KP405226.1	4062	GenBank		Al-Ahsa KSA_Camel_C7	Asia		2013-11-XX	2015-07-06	2015-07-06	Camelus bactrianus	oronasopharynx		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Khalafalla et al
KP405227	KP405227.1	4062	GenBank		Al-Ahsa KSA_Camel_C9	Asia		2013-12-XX	2015-07-06	2015-07-06	Camelus bactrianus	lung		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Khalafalla et al
KP719927	KP719927.1	29559	GenBank		Camel/UAE/D1164.9/2014	Asia		2014-06-XX	2015-02-09	2015-02-09	Camelus dromedarius			Wernery,U.,Corman,V.M.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology	Germany	United Arab Emirates		Wernery et al
KP719928	KP719928.1	29559	GenBank		Camel/UAE/D1164.10/2014	Asia		2014-06-XX	2015-02-09	2015-02-09	Camelus dromedarius			Wernery,U.,Corman,V.M.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology	Germany	United Arab Emirates		Wernery et al
KP719929	KP719929.1	29559	GenBank		Camel/UAE/D1164.11/2014	Asia		2014-06-XX	2015-02-09	2015-02-09	Camelus dromedarius			Wernery,U.,Corman,V.M.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology	Germany	United Arab Emirates		Wernery et al
KP719930	KP719930.1	29559	GenBank		Camel/UAE/D1164.14/2014	Asia		2014-06-XX	2015-02-09	2015-02-09	Camelus dromedarius			Wernery,U.,Corman,V.M.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology	Germany	United Arab Emirates		Wernery et al
KP719931	KP719931.1	29559	GenBank		Camel/UAE/D1339.2/2014	Asia		2014-06-XX	2015-02-09	2015-02-09	Camelus dromedarius			Wernery,U.,Corman,V.M.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology	Germany	United Arab Emirates		Wernery et al
KP719932	KP719932.1	29559	GenBank		Camel/UAE/D1243.12/2014	Asia		2014-06-XX	2015-02-09	2015-02-09	Camelus dromedarius			Wernery,U.,Corman,V.M.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology	Germany	United Arab Emirates		Wernery et al
KP719933	KP719933.1	29559	GenBank		Camel/UAE/D1209/2014	Asia			2015-02-09	2015-02-09	Camelus dromedarius			Wernery,U.,Corman,V.M.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology	Germany	United Arab Emirates		Wernery et al
KP769415	KP769415.1	1242	GenBank		MyH010414	Asia		2014-04-13	2015-06-15	2015-06-15	Homo sapiens			Mat-Rahim,N.A.,Tengku Abdul Rashid,T.R.,Suppiah,J.,Thayan,R.,Yusof,M.A.,Sa'at,Z.	Institute for Medical Research, Virology Unit	Malaysia	Malaysia		Mat-Rahim et al
KP966104	KP966104.1	4062	GenBank		Al-Ahsa KSA_Camel_C23	Asia		2014-05-XX	2015-07-02	2015-07-02	Camelus bactrianus	oronasopharynx		Khalafalla,A.I.,Lu,X.,Al-Mubarak,A.I.,Dalab,A.H.,Al-Busadah,K.A.,Erdman,D.D.,Al-Mubarak,A.I.A.,Dalab,A.H.S.,Al-Busada,K.A.S.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Khalafalla et al
KP984457	KP984457.1	285	GenBank		PHL-0846	Asia		2015-02-11	2015-09-08	2015-09-08	Homo sapiens	oronasopharynx		Tan,T.	DOH-Research Institute for Tropical Medicine, Molecular Biology Laboratory	Philippines	Philippines		Tan et al
KP984458	KP984458.1	228	GenBank		PHL-0846	Asia		2015-02-11	2015-09-08	2015-09-08	Homo sapiens	oronasopharynx		Tan,T.	DOH-Research Institute for Tropical Medicine, Molecular Biology Laboratory	Philippines	Philippines		Tan et al
KR011263	KR011263.1	30096	GenBank		KR011263	Asia		2015-01-21	2015-05-27	2015-05-27	Homo sapiens	lung, oronasopharynx		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR011264	KR011264.1	30096	GenBank		KR011264	Asia		2015-01-21	2015-05-27	2015-05-27	Homo sapiens	lung, oronasopharynx		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR011265	KR011265.1	30096	GenBank		KR011265	Asia		2015-01-26	2015-05-27	2015-05-27	Homo sapiens	lung, oronasopharynx		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR011266	KR011266.1	30096	GenBank		KR011266	Asia		2015-01-06	2015-05-27	2015-05-27	Homo sapiens	lung, oronasopharynx		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912187	KR912187.1	4062	GenBank		Hu/Taif,KSA-6047/2014	Asia		2014-11-28	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912188	KR912188.1	4062	GenBank		Hu/Taif,KSA-7032/2014	Asia		2014-11-04	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912189	KR912189.1	4062	GenBank		Hu/Taif,KSA-1486/2014	Asia		2014-11-11	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912190	KR912190.1	4062	GenBank		Hu/Taif,KSA-2164/2014	Asia		2014-10-27	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912191	KR912191.1	4062	GenBank		Hu/Taif,KSA-5920/2014	Asia		2014-09-10	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912192	KR912192.1	4062	GenBank		Hu/Taif,KSA-2083/2014	Asia		2014-10-24	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912193	KR912193.1	4062	GenBank		Hu/Taif,KSA-1416/2014	Asia		2014-10-27	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912194	KR912194.1	4062	GenBank		Hu/Taif,KSA-1445/2014	Asia		2014-10-27	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912195	KR912195.1	4062	GenBank		Hu/Taif,KSA-1488/2014	Asia		2014-11-12	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KR912196	KR912196.1	4062	GenBank		Hu/Taif,KSA-1521/2014	Asia		2014-11-22	2015-10-21	2015-10-21	Homo sapiens	blood		Lu,X.,Saeed,A.A.B.,Erdman,D.D.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	Saudi Arabia		Lu et al
KT001382	KT001382.1	247	GenBank		KT001382	Asia		2015-05-19	2015-06-08	2015-06-08	Homo sapiens	oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.R.,Jung,H.-D.,Kim,S.J.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001383	KT001383.1	247	GenBank		KT001383	Asia		2015-05-20	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001384	KT001384.1	247	GenBank		KT001384	Asia		2015-05-20	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001385	KT001385.1	247	GenBank		KT001385	Asia		2015-05-25	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001386	KT001386.1	247	GenBank		KT001386	Asia		2015-05-26	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001387	KT001387.1	247	GenBank		KT001387	Asia		2015-05-27	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001388	KT001388.1	247	GenBank		KT001388	Asia		2015-05-27	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001389	KT001389.1	208	GenBank		KT001389	Asia		2015-05-19	2015-06-08	2015-06-08	Homo sapiens	oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001390	KT001390.1	179	GenBank		KT001390	Asia		2015-05-20	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001391	KT001391.1	208	GenBank		KT001391	Asia		2015-05-20	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Park,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Kim,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
KT001392	KT001392.1	208	GenBank		KT001392	Asia		2015-05-25	2015-06-08	2015-06-08	Homo sapiens	lung, oronasopharynx		Yang,J.-S.,Cheong,H.-M.,Kim,Y.-J.,Kang,H.J.,Kim,S.H.,Han,Y.W.,Lee,H.S.,Kim,J.A.,Kim,H.,Kim,A.-R.,Heo,D.-R.,Kim,S.J.,Jung,H.-D.,Nam,J.-G.,Kim,S.S.	Korea National Institute of Health, KCDC, Division of Respiratory Viruses	Korea	South Korea		Yang et al
